partNumber,Unnamed: 1,name,partType,year,location,quantity,link,typt
1,,USB B Connector,Concumable,0,Black Boxes,3.0,,Connector
2,,Yellow ferrule,Concumable,0,Black Boxes,92.0,,Ferrule
3,,30A ATO Breaker,Concumable,0,Black Boxes,10.0,,Breaker
4,,REV Encoder connecter,Concumable,0,Black Boxes,11.0,,Connector
5,,5 Port wago,Concumable,0,Black Boxes,11.0,,Connector
6,,3 Port wago,Concumable,0,Black Boxes,15.0,,Connector
7,,Rev to ctre incoder connecter,Concumable,0,Black Boxes,7.0,,Connector
8,,CTRE Encoder extension,Concumable,0,Black Boxes,3.0,,Connector
9,,Sparkamx breakout board,Concumable,0,Black Boxes,2.0,,Connector
10,,Blue heat shrink,Concumable,0,Black Boxes,95.0,,Heat Shrink
11,,Pink heat shrink,Concumable,0,Black Boxes,30.0,,Shrink
12,,Red heat shrink,Concumable,0,Black Boxes,76.0,,Shrink
13,,Canbus connector,Concumable,0,Black Boxes,4.0,,Connector
14,,Inline wago,Concumable,0,Black Boxes,27.0,,Connector
15,,Red ferrule,Concumable,0,Black Boxes,41.0,,Ferrule
16,,Gray ferrule ,Concumable,0,Black Boxes,12.0,,Ferrule
17,,White ferrule ,Concumable,0,Black Boxes,11.0,,Ferrule
18,,Blue ferrule ,Concumable,0,Black Boxes,7.0,,Ferrule
19,,Heat shrink with solder,Concumable,0,Black Boxes,27.0,,Soldering
20,,Zip ties stikers ,Concumable,0,Black Boxes,53.0,,Zip ties
21,,Clear heat shrink,Concumable,0,Black Boxes,25.0,,Heat shirnk 
22,,White Anderson ,Concumable,0,Black Boxes,12.0,,Anderson 
23,,Fuse,Concumable,0,Black Boxes,4.0,,Fuse
24,,Small limitswitch,Concumable,0,Black Boxes,12.0,,Sensor
25,,40A ATO PDP Breaker,Concumable,0,Black Boxes,2.0,,Braker 
26,,Big limitswitch,Concumable,0,Black Boxes,2.0,,Sensor
27,,Mag coder,Concumable,0,Black Boxes,6.0,,Sensor
28,,15A Fuse,Concumable,0,Black Boxes,16.0,,Fuse
29,,20A Fuse small ,Concumable,0,Black Boxes,5.0,,Fuse
30,,20A Fuse big,Concumable,0,Black Boxes,4.0,,Fuse
31,,Anderson Metals ,Concumable,0,Black Boxes,48.0,,Anderson 
32,,Black heat shrink,Concumable,0,Black Boxes,101.0,,Shrink 
33,,Anderson SB50,Concumable,0,Black Boxes,10.0,,Anderson
34,,5Oh Resistor,Concumable,0,Black Boxes,87.0,,Resistor
35,,6 AWG Ring Terminal,Concumable,0,Black Boxes,8.0,,Ring Terminal
36,,Contacts for SB-50A Anderson,Concumable,0,Black Boxes,21.0,,Anderson
37,,10-12 AWG Ring Terminal,Concumable,0,Black Boxes,48.0,,Ring Terminal
38,,Metals for anderson not separated,Concumable,0,Black Boxes,68.0,,Anderson 
39,,Absulot encoder thrifty bot,Concumable,0,Black Boxes,3.0,,Sensor
40,,Touch sensore rev,Concumable,0,Black Boxes,6.0,,Sensor
41,,Logic Level Converter,Concumable,0,Black Boxes,4.0,,Sensor
42,,Magnetic limit switch ,Concumable,0,Black Boxes,4.0,Sensor,
43,,Color sensor,Concumable,0,Black Boxes,9.0,Sensor,
44,,Roborio PowerConnector,Concumable,0,Black Boxes,5.0,Connector,
45,,Fuse 25a,Concumable,0,Black Boxes,4.0,Fuse,
46,,Fuse 3a,Concumable,0,Black Boxes,5.0,Fuse,
47,,,Concumable,0,Black Boxes,,,
